Region1,Region2,Year,Area planted,Crop,Area harvested,Production,Yield
brasil,serrana,2002,95590,corn,95540,398106,4.166
brasil,vale do itajai,2002,49718,corn,49518,206800,4.176
brasil,grande florianopolis,2002,10905,corn,10905,39011,3.577
brasil,sul catarinense,2002,26492,corn,26452,101815,3.849
brasil,noroeste riograndense,2002,811753,corn,776690,2063515,2.656
brasil,nordeste riograndense,2002,156210,corn,156210,628437,4.023
brasil,centro ocidental riograndense,2002,82440,corn,79740,179079,2.245
brasil,centro oriental riograndense,2002,143968,corn,143693,454327,3.161
brasil,metropolitana de porto alegre,2002,66870,corn,66680,156922,2.353
brasil,sudoeste riograndense,2002,51965,corn,50515,89102,1.763
brasil,sudeste riograndense,2002,151630,corn,151603,329789,2.175
brasil,pantanais sul matogrossense,2002,1900,corn,1500,3660,2.44
brasil,centro norte de mato grosso do sul,2002,72003,corn,69053,208729,3.022
brasil,leste de mato grosso do sul,2002,52038,corn,51938,294114,5.662
brasil,sudoeste de mato grosso do sul,2002,364657,corn,316832,875101,2.762
brasil,norte matogrossense,2002,491014,corn,489934,1452653,2.964
brasil,nordeste matogrossense,2002,42208,corn,42188,133094,3.154
brasil,sudoeste matogrossense,2002,29650,corn,29240,91485,3.128
brasil,centrosul matogrossense,2002,19298,corn,17618,42155,2.392
brasil,sudeste matogrossense,2002,140965,corn,140965,591981,4.199
brasil,noroeste goiano,2002,14522,corn,14522,39960,2.751
brasil,norte goiano,2002,35820,corn,35790,104547,2.921
brasil,centro goiano,2002,101037,corn,101037,349893,3.463
brasil,leste goiano,2002,118330,corn,118330,645725,5.456
brasil,sul goiano,2002,472039,corn,461394,2249407,4.875
brasil,distrito federal,2002,26980,corn,26980,147266,5.458
brasil,madeiraguapore,2003,11654,corn,11654,16294,1.398
brasil,leste rondoniense,2003,93981,corn,93981,180872,1.924
brasil,vale do jurua,2003,11034,corn,11034,12037,1.09
brasil,vale do acre,2003,23033,corn,23033,38909,1.689
brasil,norte amazonense,2003,29,corn,25,63,2.52
brasil,sudoeste amazonense,2003,2494,corn,2462,3151,1.279
brasil,centro amazonense,2003,4423,corn,4343,8358,1.924
brasil,sul amazonense,2003,6288,corn,6264,10617,1.694
brasil,norte de roraima,2003,9630,corn,9510,18700,1.966
brasil,sul de roraima,2003,6370,corn,6290,9740,1.548
brasil,baixo amazonas,2003,50195,corn,49547,106214,2.143
brasil,marajo,2003,1440,corn,1353,1005,0.742
brasil,metropolitana de belem,2003,1860,corn,1860,1347,0.724
brasil,nordeste paraense,2003,37428,corn,37428,37948,1.013
brasil,sudoeste paraense,2003,30705,corn,30505,48875,1.602
brasil,sudeste paraense,2003,164233,corn,163865,328427,2.004
brasil,norte do amapa,2003,810,corn,702,548,0.78
brasil,sul do amapa,2003,690,corn,680,511,0.751
brasil,ocidental do tocantins,2003,46368,corn,46368,83368,1.797
brasil,oriental do tocantins,2003,22340,corn,22340,57389,2.568
brasil,norte maranhense,2003,40610,corn,39857,22610,0.567
brasil,oeste maranhense,2003,104660,corn,99662,112791,1.131
brasil,centro maranhense,2003,96249,corn,95126,86933,0.913
brasil,leste maranhense,2003,88763,corn,88763,66737,0.751
brasil,sul maranhense,2003,29268,corn,29268,92608,3.164
brasil,norte piauiense,2003,35055,corn,35055,26201,0.747
brasil,centronorte piauiense,2003,62174,corn,62174,46915,0.754
brasil,sudoeste piauiense,2003,80993,corn,80993,101477,1.252
brasil,sudeste piauiense,2003,101458,corn,101458,53795,0.53
brasil,noroeste cearense,2003,131887,corn,131887,87945,0.666
brasil,norte cearense,2003,98149,corn,98149,83730,0.853
brasil,metropolitana de fortaleza,2003,7839,corn,7839,3878,0.494
brasil,sertoes cearenses,2003,259317,corn,259317,271191,1.045
brasil,jaguaribe,2003,34125,corn,34125,29655,0.869
