Year,Region2,Crop,Region1,Area harvested,Area planted,Production,Yield
2003,miami,soybeans,in,77500.0,78100.0,3004500.0,38.8
2003,miami,soybeans,ks,40200.0,41200.0,870200.0,22.0
2003,miami,soybeans,oh,77200.0,77400.0,2907000.0,37.7
2003,mille lacs,soybeans,mn,12700.0,12800.0,254000.0,20.0
2003,miller,soybeans,ar,19000.0,20000.0,466000.0,25.0
2003,miller,soybeans,mo,3400.0,3500.0,112000.0,32.9
2003,mills,soybeans,ia,99600.0,100000.0,2912000.0,29.2
2003,miner,soybeans,sd,67600.0,68000.0,1757000.0,26.0
2003,minnehaha,soybeans,sd,146800.0,147000.0,4844000.0,33.0
2003,mississippi,soybeans,ar,164500.0,166500.0,6797000.0,41.0
2003,mississippi,soybeans,mo,143000.0,153400.0,5814000.0,40.7
2003,mitchell,soybeans,ia,105500.0,106000.0,3288000.0,31.2
2003,mitchell,soybeans,ks,10200.0,11100.0,164600.0,16.0
2003,moniteau,soybeans,mo,20000.0,20200.0,442000.0,22.1
2003,monona,soybeans,ia,150200.0,151000.0,5358000.0,35.7
2003,monroe,soybeans,ar,86000.0,87000.0,3169000.0,37.0
2003,monroe,soybeans,ia,26800.0,27000.0,644000.0,24.0
2003,monroe,soybeans,il,74800.0,75000.0,2618000.0,35.0
2003,monroe,soybeans,in,5800.0,6200.0,185400.0,32.0
2003,monroe,soybeans,mo,76700.0,77200.0,1986000.0,25.9
2003,montgomery,soybeans,ia,93600.0,94000.0,2834000.0,30.3
2003,montgomery,soybeans,il,147200.0,148000.0,5888000.0,40.0
2003,montgomery,soybeans,in,109700.0,110000.0,4251900.0,38.8
2003,montgomery,soybeans,ks,34800.0,35300.0,939100.0,27.0
2003,montgomery,soybeans,mo,65900.0,66400.0,2285000.0,34.7
2003,montgomery,soybeans,oh,40400.0,40500.0,1540400.0,38.1
2003,moody,soybeans,sd,102500.0,103000.0,3382000.0,33.0
2003,morgan,soybeans,il,118800.0,119000.0,5702400.0,48.0
2003,morgan,soybeans,in,41900.0,42500.0,1593200.0,38.0
2003,morgan,soybeans,mo,8700.0,8800.0,178000.0,20.5
