State,County,Year,Crop,Area planted,Production,Yield,Region1,Region2
Jonglei ,Bor South ,2015,corn,"4,263","2,729",0.6401679528981259,jonglei,bor south
Jonglei ,Canal/Pigi ,2015,corn,"2,222","1,120",0.50407272399982,jonglei,canalpigi
Jonglei ,Duk ,2015,corn,0,0,1.0,jonglei,duk
Jonglei ,Fangak ,2015,corn,0,0,1.0,jonglei,fangak
Jonglei ,Nyirol ,2015,corn,"3,909","2,502",0.6400706044869663,jonglei,nyirol
Jonglei ,Pibor ,2015,corn,"8,226","7,239",0.8800160464861841,jonglei,pibor
Jonglei ,Pochalla ,2015,corn,"5,894","4,715",0.7999694609864101,jonglei,pochalla
Jonglei ,Twic East ,2015,corn,"6,523","2,609",0.3999785378117767,jonglei,twic east
Jonglei ,Uror ,2015,corn,"7,662","4,904",0.6400464624580728,jonglei,uror
Jonglei ,Akobo ,2016,corn,"5,247","4,198",0.8000800442148998,jonglei,akobo
Jonglei ,Ayod ,2016,corn,"1,029",576,559.7124672043534,jonglei,ayod
Jonglei ,Bor South ,2016,corn,"6,534","4,182",0.6400422399412314,jonglei,bor south
Jonglei ,Canal/Pigi ,2016,corn,"1,506",759,503.9506672863688,jonglei,canalpigi
Jonglei ,Duk ,2016,corn,"2,444","1,369",0.5601652960189845,jonglei,duk
Jonglei ,Fangak ,2016,corn,"1,321",740,560.1393535689955,jonglei,fangak
Jonglei ,Nyirol ,2016,corn,"3,688","2,360",0.6399229955803801,jonglei,nyirol
Jonglei ,Pibor ,2016,corn,"7,849","5,652",0.7200952975500375,jonglei,pibor
Jonglei ,Pochalla ,2016,corn,"6,625","5,300",0.8000030188223574,jonglei,pochalla
Jonglei ,Twic East ,2016,corn,"6,835","3,828",0.5600649588155258,jonglei,twic east
Jonglei ,Uror ,2016,corn,"10,548","5,485",0.5200083427347105,jonglei,uror
Jonglei ,Akobo ,2017,corn,"5,615","4,492",0.8000035618243664,jonglei,akobo
